comment_id,post_id,topic,comment_text,true_label_sim,trigger_hits,subjectivity,relatability_score,predicted_label
C00001,P0001,Dating,good editing,Neutral,0,0.6,0.24,Neutral
C00002,P0001,Dating,good lighting,Neutral,0,0.6,0.24,Neutral
C00003,P0001,Dating,cute outfit,Neutral,0,1.0,0.4,Relatable
C00004,P0001,Dating,posted at a good time,Neutral,0,0.6,0.24,Neutral
C00005,P0001,Dating,cool content,Neutral,0,0.65,0.26,Neutral
C00006,P0001,Dating,following for more,Neutral,0,0.3,0.12,Neutral
C00007,P0002,Career Burnout,good editing,Neutral,0,0.6,0.24,Neutral
C00008,P0002,Career Burnout,stop reading my mind,Relatable,1,0.0,1.0,Relatable
C00009,P0002,Career Burnout,love the music choice,Neutral,0,0.6,0.24,Neutral
C00010,P0002,Career Burnout,who told you about my life,Relatable,2,0.0,2.0,Relatable
C00011,P0003,Social Anxiety,wait why is this so accurate,Relatable,1,0.633,1.253,Relatable
C00012,P0003,Social Anxiety,I thought I was the only one who felt this way,Relatable,2,1.0,2.4,Relatable
C00013,P0004,Overthinking,same energy honestly,Relatable,1,0.512,1.205,Relatable
C00014,P0004,Overthinking,the way this called me out,Relatable,1,0.0,1.0,Relatable
C00015,P0004,Overthinking,I felt this in my soul,Relatable,2,0.0,2.0,Relatable
C00016,P0004,Overthinking,more of this please,Neutral,0,0.5,0.2,Neutral
C00017,P0004,Overthinking,following for more,Neutral,0,0.3,0.12,Neutral
C00018,P0005,Imposter Syndrome,what app did you use for this,Neutral,0,0.0,0.0,Neutral
C00019,P0005,Imposter Syndrome,crying at 2am reading this,Relatable,1,0.6,1.24,Relatable
C00020,P0005,Imposter Syndrome,nice video,Neutral,0,1.0,0.4,Relatable
C00021,P0006,Financial Stress,good lighting,Neutral,0,0.6,0.24,Neutral
C00022,P0006,Financial Stress,this hit different,Relatable,1,0.6,1.24,Relatable
C00023,P0006,Financial Stress,keep it up,Neutral,0,0.0,0.0,Neutral
C00024,P0007,Dating,the background is nice,Neutral,0,1.0,0.4,Relatable
C00025,P0007,Dating,what's the song name,Neutral,0,0.0,0.0,Neutral
C00026,P0007,Dating,nice,Neutral,0,1.0,0.4,Relatable
C00027,P0007,Dating,posted at a good time,Neutral,0,0.6,0.24,Neutral
C00028,P0008,Financial Stress,no because this is so accurate it hurts,Relatable,2,0.633,2.253,Relatable
C00029,P0008,Financial Stress,what camera do you use,Neutral,0,0.0,0.0,Neutral
C00030,P0009,Dating,sending this to my therapist,Relatable,1,0.0,1.0,Relatable
C00031,P0009,Dating,no because this is so accurate it hurts,Relatable,2,0.633,2.253,Relatable
C00032,P0009,Dating,cool content,Neutral,0,0.65,0.26,Neutral
C00033,P0009,Dating,posted at a good time,Neutral,0,0.6,0.24,Neutral
C00034,P0010,Overthinking,following for more,Neutral,0,0.3,0.12,Neutral
C00035,P0010,Overthinking,love your page,Neutral,0,0.6,0.24,Neutral
C00036,P0010,Overthinking,I've never related to something more,Relatable,1,0.45,1.18,Relatable
C00037,P0010,Overthinking,what app did you use for this,Neutral,0,0.0,0.0,Neutral
C00038,P0011,Body Image,cool content,Neutral,0,0.65,0.26,Neutral
C00039,P0011,Body Image,this hit different,Relatable,1,0.6,1.24,Relatable
C00040,P0012,Body Image,omg I needed to hear this today,Relatable,1,0.0,1.0,Relatable
C00041,P0012,Body Image,who told you about my life,Relatable,2,0.0,2.0,Relatable
C00042,P0013,Financial Stress,first,Neutral,0,0.333,0.133,Neutral
C00043,P0013,Financial Stress,this is exactly what I go through,Relatable,1,0.25,1.1,Relatable
C00044,P0013,Financial Stress,love your page,Neutral,0,0.6,0.24,Neutral
C00045,P0013,Financial Stress,great quality,Neutral,0,0.75,0.3,Neutral
C00046,P0014,Friendship Fallouts,posted at a good time,Neutral,0,0.6,0.24,Neutral
C00047,P0014,Friendship Fallouts,what camera do you use,Neutral,0,0.0,0.0,Neutral
C00048,P0014,Friendship Fallouts,cute outfit,Neutral,0,1.0,0.4,Relatable
C00049,P0015,Body Image,I felt this in my soul,Relatable,2,0.0,2.0,Relatable
C00050,P0015,Body Image,this explains so much about me,Relatable,1,0.2,1.08,Relatable
C00051,P0016,Social Anxiety,good lighting,Neutral,0,0.6,0.24,Neutral
C00052,P0016,Social Anxiety,sending this to my therapist,Relatable,1,0.0,1.0,Relatable
C00053,P0016,Social Anxiety,this is exactly what I go through,Relatable,1,0.25,1.1,Relatable
C00054,P0016,Social Anxiety,I thought I was the only one who felt this way,Relatable,2,1.0,2.4,Relatable
C00055,P0016,Social Anxiety,crying at 2am reading this,Relatable,1,0.6,1.24,Relatable
C00056,P0017,Family Pressure,love your page,Neutral,0,0.6,0.24,Neutral
