Employee_ID,Role ,years_exp,Current_CTC,Previous_CTC,Company,company_TYPE,Skills,Location,Education_Tier,Joining_Year,Work_Mode
BLR0065,DS,6,49.4,32.4 LPA,Ola,Unicorn,"JIRA, JavaScript, Spring Boot, Figma, NumPy, Agile, Docker",HSR Layout,Tier-1,2022,Remote
BLR0080,DevOps,0,9.7,,Walmart Labs,MNC,"Tableau, Python, Figma, JavaScript, TensorFlow",Electronic City,2,2024,Remote
BLR0166,SDE Backend,6,"3,360,000",24.2 LPA,Postman,Mid-size,"Agile, Excel, GCP, MongoDB, Java, ML",Whitefield,Tier-1,2023,Hybrid
BLR0219,SDE Frontend,8,41.4 LPA,30.3,Amazon India,MNC,"PyTorch, Redis, System Design",MG Road,Tier-2,2022,Work from Office
BLR0491,Product Lead,5,"3,640,000",30.6 LPA,QuickPay AI,early-stage,"Tableau, Deep Learning, Agile",Whitefield,Tier-2,2023,Onsite
BLR0904,Product Manager,4,32.1,22.0 LPA,QuickPay AI,early-stage,"Azure, JIRA, PostgreSQL, System Design, React, Figma",Indiranagar,Tier-2,2022,Hybrid
BLR0030,Site Reliability Engineer,3,24.6,19.3 LPA,Capgemini,MNC,"Spring Boot, PyTorch, GCP, Docker, Azure",MG Road,Tier 1,2022,Onsite
BLR0109,DA,5,21.7 LPA,17.7,Microsoft India,MNC,"React, Docker, Python",Bellandur,Tier-2,2023,Hybrid (3 days)
BLR0067,DS,3,21.0,,Hasura,Mid-size,"Azure, Docker, JavaScript, SQL, TensorFlow",Electronic City,Tier 2,2023,WFH
BLR0498,UI/UX,7,26.9 LPA,18.9,Hasura,Mid-size,"Azure, PowerBI, Kafka, Sketch, React, Tableau",Sarjapur,T3,2023,Hybrid
BLR0539,DA,4,28.7 LPA,17.4 LPA,Unacademy,Unicorn,"GCP, MongoDB, Spring Boot, PostgreSQL, Node.js, Agile",Marathahalli,Tier-1,2023,Work from Office
BLR0559,SDE-Frontend,1,13.0,,BrowserStack,Mid-size,"PostgreSQL, Microservices, Deep Learning",Electronic City,Tier-3,2024,Work from Office
BLR0433,UI Designer,6,"2,800,000",18.5 LPA,FinNova,Early-stage,"Kafka, Deep Learning, Node.js, SQL, Redis, ML",Bellandur,Tier 1,2024,Remote
BLR0989,ML Engineer,0,₹10.0 LPA,,Postman,Mid-size,"GCP, TensorFlow, Java, PyTorch",Outer Ring Road,T2,2024,Remote
BLR0782,Product Manager,1,14.2,8.7 LPA,EdMint,Early-stage,"GCP, Tableau, JIRA, React, Python, NumPy",Indiranagar,T3,2023,Work from Office
BLR0996,Frontend Dev,2,15.5 LPA,11.8,Microsoft India,MNC,"React, PyTorch, Pandas",MG Road,Tier 1,2023,Onsite
BLR0703,Data Scientist,1,₹17.0 LPA,12.2,Google India,MNC,"Figma, PowerBI, JavaScript",Indiranagar,Tier 1,2024,Work from Office
BLR0501,Site Reliability Engineer,2,"1,750,000",10.7,Google India,MNC,"Agile, PostgreSQL, JavaScript, Azure, Docker",Jayanagar,Tier-1,2022,Onsite
